0.9099994, 0, 0, 43.77134, 11.74461, 0, 910.9586, -1360.343, -5.408932, 0.0268742, 0.1849792, 39.13888, 3.10966, 2.44529, 125.1144
1.199999, -0.2241095, -0.05784225, 59.48389, 12.08102, 0.8843466697999601318410552175, 1934.568, -1382.441, -5.408932, 0.0268742, 0.1849792, 57.06893, 3.10966, 2.418303, 126.4826
 
1.209999, -0.2242558, -0.06008334, 60.03761, 12.09206, 0.869529270935438743392, 1976.984, -1383.218, -5.408932, 0.0268742, 0.1849792, 57.69253, 3.10966, 2.417373, 126.5298
 
1.219999, -0.2242665, -0.0623259, 60.59344, 12.10439, 0.8547359489361439227861447825, 2019.882, -1383.997, -5.408932, 0.0268742, 0.1849792, 58.3165, 3.10966, 2.416442, 126.577
 
1.229999, -0.2241388, -0.06456856, 61.14883, 12.11545, 0.8399607104193164418421447825, 2063.261, -1384.777, -5.408932, 0.0268742, 0.1849792, 58.9408, 3.10966, 2.415512, 126.6241
 
1.239999, -0.2238676, -0.06680995, 61.70633, 12.12779, 0.8252001453568340827968, 2107.121, -1385.558, -5.408932, 0.0268742, 0.1849792, 59.56543, 3.10966, 2.414581, 126.6713
 
1.249999, -0.2234508, -0.06904863, 62.26337, 12.13886, 0.8104500170470894205418552175, 2151.463, -1386.339, -5.408932, 0.0268742, 0.1849792, 60.1904, 3.10966, 2.41365, 126.7185
 
1.259999, -0.2228828, -0.07128314, 62.82256, 12.15121, 0.7957058821201029531264, 2196.291, -1387.122, -5.408932, 0.0268742, 0.1849792, 60.81575, 3.10966, 2.41272, 126.7657
 
1.269999, -0.2221614, -0.07351197, 63.38127, 12.16229, 0.7809645372161266063136, 2241.6, -1387.906, -5.408932, 0.0268742, 0.1849792, 61.4414, 3.10966, 2.411789, 126.8129
 
1.279999, -0.2212819, -0.07573358, 63.94211, 12.17465, 0.7662238123172644233450552175, 2287.393, -1388.691, -5.408932, 0.0268742, 0.1849792, 62.0674, 3.10966, 2.410859, 126.86
 
1.289999, -0.220242, -0.07794639, 64.50249, 12.18574, 0.7514805040637621299328, 2333.671, -1389.477, -5.408932, 0.0268742, 0.1849792, 62.69375, 3.10966, 2.409928, 126.9072
 
1.299999, -0.2190367, -0.08014882, 65.06502, 12.19812, 0.7367321324351703040928, 2380.436, -1390.265, -5.408932, 0.0268742, 0.1849792, 63.32044, 3.10966, 2.408998, 126.9544
 
